impl,threads,mh_size,rep,criterio,tiempo
gpu,8,9,3,CB+smh_a,3.8086e-05
gpu,8,10,1,build_smh,0.00745801
gpu,8,10,1,smh_a,0.000150023
gpu,8,10,1,CB+smh_a,4.8711e-05
gpu,8,10,2,build_smh,0.00752733
gpu,8,10,2,smh_a,6.5654e-05
gpu,8,10,2,CB+smh_a,4.6218e-05
gpu,8,10,3,build_smh,0.0109496
gpu,8,10,3,smh_a,0.000989814
gpu,8,10,3,CB+smh_a,5.062e-05
